2022-11-11 21:53:38,265 INFO    Thread-494:847 [wandb_setup.py:_flush():68] Configure stats pid to 847
2022-11-11 21:53:38,266 INFO    Thread-494:847 [wandb_setup.py:_flush():68] Loading settings from /home/mmendieta/.config/wandb/settings
2022-11-11 21:53:38,266 INFO    Thread-494:847 [wandb_setup.py:_flush():68] Loading settings from /home/mmendieta/violence_prediction/Scripts/wandb/settings
2022-11-11 21:53:38,266 INFO    Thread-494:847 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'project': 'rf_param_opt', 'entity': 'npsdaor', 'root_dir': '/home/mmendieta/violence_prediction/Scripts', 'run_id': 'kpxvftlu', 'sweep_param_path': '/home/mmendieta/violence_prediction/Scripts/wandb/sweep-8my4npx2/config-kpxvftlu.yaml', 'sweep_id': '8my4npx2'}
2022-11-11 21:53:38,266 INFO    Thread-494:847 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2022-11-11 21:53:38,266 INFO    Thread-494:847 [wandb_init.py:_log_setup():476] Logging user logs to /home/mmendieta/violence_prediction/Scripts/wandb/run-20221111_215338-kpxvftlu/logs/debug.log
2022-11-11 21:53:38,266 INFO    Thread-494:847 [wandb_init.py:_log_setup():477] Logging internal logs to /home/mmendieta/violence_prediction/Scripts/wandb/run-20221111_215338-kpxvftlu/logs/debug-internal.log
2022-11-11 21:53:38,267 INFO    Thread-494:847 [wandb_init.py:_jupyter_setup():426] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7fccb25e1a60>
2022-11-11 21:53:38,267 INFO    Thread-494:847 [wandb_init.py:init():516] calling init triggers
2022-11-11 21:53:38,267 INFO    Thread-494:847 [wandb_init.py:init():519] wandb.init called with sweep_config: {'criterion': 'gini', 'min_samples_leaf': 50, 'min_samples_split': 10, 'n_estimators': 50}
config: {}
2022-11-11 21:53:38,268 INFO    Thread-494:847 [wandb_init.py:init():569] starting backend
2022-11-11 21:53:38,268 INFO    Thread-494:847 [wandb_init.py:init():573] setting up manager
2022-11-11 21:53:38,274 INFO    Thread-494:847 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-11 21:53:38,277 INFO    Thread-494:847 [wandb_init.py:init():580] backend started and connected
2022-11-11 21:53:38,295 INFO    Thread-494:847 [wandb_run.py:_config_callback():1160] config_cb None None {'criterion': 'gini', 'min_samples_leaf': 50, 'min_samples_split': 10, 'n_estimators': 50}
2022-11-11 21:53:38,299 INFO    Thread-494:847 [wandb_run.py:_label_probe_notebook():1113] probe notebook
2022-11-11 21:53:38,299 INFO    Thread-494:847 [wandb_run.py:_label_probe_notebook():1123] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2022-11-11 21:53:38,299 INFO    Thread-494:847 [wandb_init.py:init():658] updated telemetry
2022-11-11 21:53:38,443 INFO    Thread-494:847 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-11-11 21:53:38,683 INFO    Thread-494:847 [wandb_run.py:_on_init():2000] communicating current version
2022-11-11 21:53:38,767 INFO    Thread-494:847 [wandb_run.py:_on_init():2004] got version response upgrade_message: "wandb version 0.13.5 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2022-11-11 21:53:38,767 INFO    Thread-494:847 [wandb_init.py:init():728] starting run threads in backend
2022-11-11 21:53:38,955 INFO    Thread-494:847 [wandb_run.py:_console_start():1980] atexit reg
2022-11-11 21:53:38,955 INFO    Thread-494:847 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-11 21:53:38,955 INFO    Thread-494:847 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-11 21:53:38,955 INFO    Thread-494:847 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-11 21:53:38,956 INFO    Thread-494:847 [wandb_init.py:init():765] run started, returning control to user process
2022-11-11 21:56:29,854 INFO    Thread-494:847 [wandb_run.py:_finish():1746] finishing run npsdaor/rf_param_opt/kpxvftlu
2022-11-11 21:56:29,854 INFO    Thread-494:847 [jupyter.py:save_history():448] not saving jupyter history
2022-11-11 21:56:29,855 INFO    Thread-494:847 [jupyter.py:save_ipynb():378] not saving jupyter notebook
2022-11-11 21:56:29,855 INFO    Thread-494:847 [wandb_init.py:_jupyter_teardown():408] cleaning up jupyter logic
2022-11-11 21:56:29,855 INFO    Thread-494:847 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2022-11-11 21:56:29,855 INFO    Thread-494:847 [wandb_run.py:_restore():1932] restore
2022-11-11 21:56:29,855 INFO    Thread-494:847 [wandb_run.py:_restore():1938] restore done
2022-11-11 21:56:33,395 INFO    Thread-494:847 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2022-11-11 21:56:33,396 INFO    Thread-494:847 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2022-11-11 21:56:33,405 INFO    Thread-494:847 [wandb_run.py:_footer_sync_info():3333] logging synced files
